"id_fatura","id_processamento","id_cliente","fl_ativa","dt_vencimento","vl_minimo_pagamento","vl_fatura"
1174934,2270,31765,N,2021-06-10,62.20,287.05
1845353,2421,31766,N,2023-07-15,0.00,0.00
1874743,2427,31766,S,2023-08-15,0.00,0.00
1816210,2415,31766,N,2023-06-15,0.00,0.00
1787079,2409,31766,N,2023-05-15,0.00,0.00
1758251,2403,31766,N,2023-04-15,0.00,0.00
1729600,2397,31766,N,2023-03-15,0.00,0.00
1672908,2385,31766,N,2023-01-15,0.00,0.00
1644859,2379,31766,N,2022-12-15,0.00,0.00
1589233,2367,31766,N,2022-10-15,0.00,0.00
1616966,2373,31766,N,2022-11-15,0.00,0.00
1454115,2337,31766,N,2022-05-15,0.00,0.00
1561736,2361,31766,N,2022-09-15,0.00,0.00
1507262,2349,31766,N,2022-07-15,0.00,0.00
1350437,2313,31766,N,2022-01-15,0.00,0.00
1375887,2319,31766,N,2022-02-15,0.00,0.00
1480466,2343,31766,N,2022-06-15,0.00,0.00
1427718,2331,31766,N,2022-04-15,0.00,0.00
1325030,2307,31766,N,2021-12-15,317.11,439.23
1299823,2301,31766,N,2021-11-15,212.94,368.75
1275156,2295,31766,N,2021-10-15,65.18,301.96
1226948,2283,31766,N,2021-08-15,62.49,288.50
1203268,2277,31766,N,2021-07-15,65.86,305.33
1164858,2265,31766,N,2021-05-15,0.00,0.00
1180423,2271,31766,N,2021-06-15,63.63,294.18
1845358,2421,31791,N,2023-07-15,133.92,641.63
1837518,2420,31762,N,2023-07-10,0.00,0.00
1837514,2420,31746,N,2023-07-10,0.93,0.94
1837516,2420,31759,N,2023-07-10,146.44,704.26
1808407,2414,31760,N,2023-06-10,0.00,0.00
1837517,2420,31760,N,2023-07-10,0.00,0.00
1837520,2420,31765,N,2023-07-10,170.80,170.80
1750588,2402,31762,N,2023-04-10,83.46,393.35
1779361,2408,31762,N,2023-05-10,15.31,17.09
1779359,2408,31759,N,2023-05-10,168.21,813.11
1779360,2408,31760,N,2023-05-10,0.00,0.00
1779363,2408,31765,N,2023-05-10,313.90,313.90
1808408,2414,31762,N,2023-06-10,91.58,325.33
1808406,2414,31759,N,2023-06-10,139.19,667.97
1808410,2414,31765,N,2023-06-10,477.72,477.72
1722009,2396,31762,N,2023-03-10,174.62,810.11
1722008,2396,31760,N,2023-03-10,517.06,724.68
1722011,2396,31765,N,2023-03-10,217.72,217.72
1395043,2324,31762,N,2022-03-10,105.99,505.99
1269079,2294,31762,N,2021-10-10,105.99,505.99
1164831,2264,31762,N,2021-05-10,0.00,0.00
1197612,2276,31762,N,2021-07-10,105.99,505.99
1570203,2363,31739,N,2022-09-25,0.00,0.00
1570205,2363,31754,N,2022-09-25,0.00,0.00
1570206,2363,31763,N,2022-09-25,0.00,0.00
1770036,2407,31740,N,2023-05-05,0.00,0.00
1554538,2360,31746,N,2022-09-10,129.60,297.47
1152565,2264,31746,N,2021-05-10,0.00,0.00
1220994,2282,31746,N,2021-08-10,84.80,241.54
1534434,2355,31750,N,2022-08-15,0.00,0.00
1507260,2349,31752,N,2022-07-15,0.00,0.00
1534435,2355,31752,N,2022-08-15,0.00,0.00
1534437,2355,31766,N,2022-08-15,0.00,0.00
1401709,2325,31750,N,2022-03-15,429.00,592.48
1401710,2325,31752,N,2022-03-15,200.17,342.97
1401712,2325,31766,N,2022-03-15,0.00,0.00
1250965,2289,31750,N,2021-09-15,81.99,385.99
1250968,2289,31766,N,2021-09-15,64.95,300.80
1653489,2381,31751,N,2022-12-25,95.39,452.97
1152554,2261,31751,N,2021-04-25,0.00,0.00
1152558,2264,31759,N,2021-05-10,0.00,0.00
1197610,2276,31759,N,2021-07-10,43.17,191.87
1220996,2282,31759,N,2021-08-10,83.75,394.78
1221000,2282,31765,N,2021-08-10,126.43,416.38
1473591,2342,31760,N,2022-06-10,148.18,148.18
1269078,2294,31760,N,2021-10-10,186.55,587.38
1693641,2390,31765,N,2023-02-10,217.72,217.72
1447259,2336,31765,N,2022-05-10,177.94,177.94
1395045,2324,31765,N,2022-03-10,177.94,177.94
1701166,2391,31766,N,2023-02-15,0.00,0.00
1874748,2427,31791,S,2023-08-15,126.43,604.20
1816215,2415,31791,N,2023-06-15,134.24,643.24
