"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
13148,24756,N,S,2021-11-30,2022-01-27,2022-01-27,,725.60
14311,24970,S,S,2022-08-13,2022-06-10,2022-08-10,,437.60
12765,26014,N,C,2021-11-20,2021-09-10,2021-11-10,,836.27
13867,26247,N,C,2022-05-28,2022-03-25,2022-05-25,,1440.21
14043,26578,N,S,2022-06-28,2022-04-25,2022-06-25,,1200.32
13163,26670,N,S,2022-02-04,2021-11-25,2022-01-25,,681.18
14470,27463,S,P,2022-09-13,2022-07-10,2022-09-10,,1412.10
13601,28087,N,C,2022-04-23,2022-02-20,2022-04-20,,897.14
12651,28288,N,S,2021-10-20,2021-08-10,2021-10-10,,759.11
13061,28329,N,S,2022-01-20,2021-11-10,2022-02-10,,796.89
13987,28515,N,S,2022-06-18,2022-04-15,2022-06-15,,559.73
13407,28905,N,C,2022-03-30,2022-01-20,2022-03-20,,421.56
12854,29343,N,S,2021-12-05,2021-09-25,2021-11-25,,528.40
13432,29759,N,C,2022-04-04,2022-01-25,2022-03-25,,637.79
12404,30250,N,S,2021-08-20,2021-06-10,2021-08-10,,715.06
12907,30319,N,C,2021-12-20,2021-10-10,2022-01-10,,838.49
11990,30738,N,S,2021-05-05,2021-02-25,2021-04-25,,425.63
14490,30869,S,S,2022-09-13,2022-07-10,2022-09-10,,1344.87
13037,30887,N,S,2022-01-20,2021-11-10,2022-02-10,,657.30
13221,30897,N,S,2022-02-25,2021-12-15,2022-02-15,,1088.58
14611,30916,N,S,2022-09-28,2022-07-25,2022-09-25,,785.47
12359,30943,N,S,2021-08-04,2021-05-25,2021-07-25,,380.99
14572,30964,N,S,2022-04-27,2022-02-10,2022-09-19,,315.84
13949,31006,S,P,2022-06-13,2022-04-10,2022-06-10,,496.44
12283,31095,S,P,2021-07-20,2021-05-10,2021-07-10,,516.80
13132,31098,S,C,2022-01-30,2021-11-20,2022-01-20,,850.84
12257,31252,N,C,2021-07-05,2021-04-25,2021-06-25,,452.19
12920,31317,N,S,2021-12-20,2021-10-10,2022-01-10,,2271.09
12864,31322,N,P,2021-12-05,2021-09-25,2021-11-25,,735.11
14122,31473,S,S,2022-07-13,2022-05-10,2022-07-10,,365.63
14124,31480,N,C,2022-07-13,2022-05-10,2022-07-10,,370.86
