"id_bloqueio_cliente","id_cliente","id_tipo_bloqueio_cliente","dt_bloqueio","dt_desbloqueio","fl_liberado","dt_vencimento_fatura"
76473,19352,2,2023-04-13,2023-05-23,S,2023-04-10
67434,19352,2,2022-10-13,2022-10-18,S,2022-10-10
65599,19360,2,2022-08-28,2022-10-04,S,2022-08-25
61497,19360,2,2022-05-28,2022-06-01,S,2022-05-25
54519,19360,2,2021-11-04,2021-11-20,S,2021-10-25
80556,19360,3,2023-06-28,,N,
75972,19360,2,2023-03-28,2023-04-05,S,2023-03-25
74693,19360,2,2023-02-28,2023-03-02,S,2023-02-25
77633,19360,2,2023-04-28,2023-06-28,S,2023-04-25
73105,19360,2,2023-01-28,2023-02-02,S,2023-01-25
63036,19360,2,2022-06-28,2022-07-29,S,2022-06-25
62571,19374,3,2022-06-18,,N,
59416,19374,9,2022-04-18,2022-06-18,S,2022-04-15
56998,19375,9,2022-02-04,2022-04-04,S,2022-01-25
58830,19375,3,2022-04-04,,N,
81977,19381,2,2023-08-13,2023-08-17,S,2023-08-10
76474,19381,2,2023-04-13,2023-05-05,S,2023-04-10
57919,19442,2,2022-03-07,2022-03-24,S,2022-02-25
81756,19442,2,2023-07-28,2023-08-05,S,2023-07-25
80252,19442,2,2023-06-28,2023-06-29,S,2023-06-25
78950,19442,2,2023-05-28,2023-06-04,S,2023-05-25
77433,19442,2,2023-04-28,2023-05-09,S,2023-04-25
75973,19442,2,2023-03-28,2023-04-07,S,2023-03-25
63037,19442,2,2022-06-28,2022-07-13,S,2022-06-25
68437,19442,2,2022-10-28,2022-10-29,S,2022-10-25
75761,19447,2,2023-03-23,2023-05-23,S,2023-03-20
78796,19447,3,2023-05-23,,N,
72860,19447,2,2023-01-23,2023-02-16,S,2023-01-20
82398,19503,3,2023-08-13,,N,
79662,19503,2,2023-06-13,2023-08-13,S,2023-06-10
77972,19503,2,2023-05-13,2023-05-20,S,2023-05-10
80270,19510,2,2023-06-28,2023-08-07,S,2023-06-25
65611,19518,2,2022-08-28,2022-09-21,S,2022-08-25
71759,19518,3,2022-12-28,,N,
68456,19518,2,2022-10-28,2022-12-28,S,2022-10-25
60026,19598,2,2022-04-28,2022-05-02,S,2022-04-25
64427,19598,3,2022-07-28,,N,
61498,19598,9,2022-05-28,2022-07-28,S,2022-05-25
57920,19598,2,2022-03-07,2022-03-15,S,2022-02-25
60027,19603,2,2022-04-28,2022-05-26,S,2022-04-25
64381,19603,2,2022-07-28,2022-08-09,S,2022-07-25
57921,19603,2,2022-03-07,2022-03-30,S,2022-02-25
81757,19603,2,2023-07-28,2023-08-09,S,2023-07-25
78951,19603,2,2023-05-28,2023-07-06,S,2023-05-25
75975,19603,2,2023-03-28,2023-04-08,S,2023-03-25
73130,19603,2,2023-01-28,2023-02-04,S,2023-01-25
71515,19603,2,2022-12-28,2023-01-05,S,2022-12-25
63039,19603,2,2022-06-28,2022-07-05,S,2022-06-25
66987,19603,2,2022-09-28,2022-11-08,S,2022-09-25
75763,19628,2,2023-03-23,2023-03-29,S,2023-03-20
77264,19628,2,2023-04-23,2023-06-23,S,2023-04-20
80212,19628,3,2023-06-23,,N,
74306,19628,2,2023-02-23,2023-02-28,S,2023-02-20
68343,19628,2,2022-10-23,2022-11-12,S,2022-10-20
72867,19628,2,2023-01-23,2023-01-27,S,2023-01-20
60987,19651,2,2022-05-18,2022-05-28,S,2022-05-15
62459,19651,9,2022-06-18,2022-08-18,S,2022-06-15
65270,19651,3,2022-08-18,,N,
57696,19652,2,2022-03-02,2022-03-22,S,2022-02-20
60028,19652,2,2022-04-28,2022-04-29,S,2022-04-25
61499,19652,2,2022-05-28,2022-05-30,S,2022-05-25
74708,19652,3,2023-02-28,,N,
71516,19652,2,2022-12-28,2023-02-28,S,2022-12-25
63040,19652,2,2022-06-28,2022-07-01,S,2022-06-25
